520 1.13 120 0.6 425 2.38 365 2.3 458 3.97 305 2.01 320 2.15
740 1.62 315 1.5 595 3.32 493 3.07 675 4.4 525 3.48 525 3.48
975 2.12 529 2.49 700 3.94 650 4.08 870 5.63 790 5.2 785 5.2
1140 2.46 850 4.07 912 5.14 850 5.31 1057 6.87 930 6.12 1050 6.95
1300 2.8 1080 5.16 1025 5.75 1028 6.4 1240 8.02 1237 8.12 1225 8.1
1530 3.29 1235 5.88 1175 6.58 1250 7.8 1455 9.43 1400 9.23 1480 9.78
1700 3.64 1480 7.04 1300 7.28 1370 8.51 1660 10.75 1680 11.05 1665 11.03	
1820 3.89 1570 7.45 1460 8.2 1540 9.53 1840 12.03 1880 12.47 1860 12.36
1930 4.13 1725 8.22 1620 9.06 1672 10.34 2030 13.25 2134 14.16 2080 13.87
1950 4.16 1865 8.91 1790 10.05 1940 12.11 2225 14.6 2285 15.23 2300 15.48
0 0 2075 9.97 2000 11.23 2115 13.2 2370 16.09 2445 16.8 2450 16.98
0 0 2250 10.83 2150 12.25 2487 16.02 2540 17.25 2545 17.45 2560 17.73
0 0 0 0 2320 13.5 0 0 0 0 0 0 0 0
0 0 0 0 2340 13.65 0 0 0 0 0 0 0 0
